,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Timmy Allen,"Apr 6, '24, MEM vs. PHI",24,1,5,125,6,23,0,7,1,2,4,17,5,4,0,2,18,13,0.261,0,0.5,25,2.6,3.4,1,0.8,0
2,Ibou Badji,"Dec 26, '23, POR vs. SAC",21,1,22,226,14,22,0,0,6,12,20,51,13,3,20,15,46,34,0.636,,0.5,10.3,1.5,2.3,0.6,0.1,0.9
3,Amari Bailey,"Nov 12, '23, CHO @ NYK",19,1,10,65,8,24,1,8,6,7,6,9,7,3,0,4,2,23,0.333,0.125,0.857,6.5,2.3,0.9,0.7,0.3,0
4,Emoni Bates,"Oct 28, '23, CLE vs. IND",20,2,25,208,28,87,21,63,1,4,1,21,18,2,3,10,9,78,0.322,0.333,0.25,8.3,3.1,0.8,0.7,0.1,0.1
5,Jules Bernard,"Dec 8, '23, WAS @ BRK",24,1,19,149,29,64,11,29,5,9,10,26,16,3,1,8,14,74,0.453,0.379,0.556,7.8,3.9,1.4,0.8,0.2,0.1
6,Onuralp Bitim,"Nov 4, '23, CHI @ DEN",24,1,23,268,32,84,12,44,4,5,6,32,13,3,2,10,24,80,0.381,0.273,0.8,11.7,3.5,1.4,0.6,0.1,0.1
7,Anthony Black,"Oct 25, '23, ORL vs. HOU",20,3,187,4263,604,1355,161,466,311,432,117,533,488,174,96,292,386,1680,0.446,0.345,0.72,22.8,9,2.9,2.6,0.9,0.5
8,Leaky Black,"Nov 8, '23, CHO vs. WAS",24,1,26,284,25,52,9,20,10,15,9,48,24,8,11,6,19,69,0.481,0.45,0.667,10.9,2.7,1.8,0.9,0.3,0.4
9,Izaiah Brockington,"Mar 5, '24, NOP @ TOR",24,1,1,3,2,5,0,1,0,0,1,2,0,0,0,0,0,4,0.4,0,,3,4,2,0,0,0
10,Kobe Brown,"Oct 25, '23, LAC vs. POR",24,3,110,911,95,230,30,116,23,29,53,170,71,26,12,32,85,243,0.413,0.259,0.793,8.3,2.2,1.5,0.6,0.2,0.1
11,Kobe Bufkin,"Oct 29, '23, ATL @ MIL",20,2,27,320,52,139,13,59,17,26,11,54,44,10,7,18,29,134,0.374,0.22,0.654,11.9,5,2,1.6,0.4,0.3
12,Toumani Camara,"Oct 25, '23, POR @ LAC",23,3,188,5643,709,1590,296,826,219,300,384,1000,371,224,101,278,536,1933,0.446,0.358,0.73,30,10.3,5.3,2,1.2,0.5
13,D.J. Carton,"Feb 22, '24, TOR vs. BRK",23,2,8,69,4,15,1,7,5,6,2,8,6,3,0,5,4,14,0.267,0.143,0.833,8.6,1.8,1,0.8,0.4,0
14,Colin Castleton,"Nov 4, '23, LAL @ ORL",23,2,42,491,55,114,2,16,35,44,59,134,31,10,10,26,62,147,0.482,0.125,0.795,11.7,3.5,3.2,0.7,0.2,0.2
15,Malcolm Cazalon,"Nov 5, '23, DET vs. PHO",22,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,0,0,0,0,0
16,Sidy Cissoko,"Nov 20, '23, SAS vs. LAC",19,3,69,981,100,243,42,138,49,71,45,118,80,33,13,51,121,291,0.412,0.304,0.69,14.2,4.2,1.7,1.2,0.5,0.2
17,Noah Clowney,"Nov 25, '23, BRK vs. MIA",19,3,106,2465,329,842,178,543,206,259,106,405,127,62,68,127,234,1042,0.391,0.328,0.795,23.3,9.8,3.8,1.2,0.6,0.6
18,Bilal Coulibaly,"Oct 25, '23, WAS @ IND",19,3,146,4318,532,1264,151,497,294,400,170,665,371,171,112,252,348,1509,0.421,0.304,0.735,29.6,10.3,4.6,2.5,1.2,0.8
19,Ricky Council IV,"Jan 2, '24, PHI vs. CHI",22,2,105,1539,231,575,67,245,176,224,65,260,113,40,14,57,84,705,0.402,0.273,0.786,14.7,6.7,2.5,1.1,0.4,0.1
20,Jalen Crutcher,"Feb 27, '24, NOP @ NYK",24,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,0,0,0
,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
21,Dexter Dennis,"Dec 1, '23, DAL vs. MEM",24,1,4,30,10,19,1,8,1,3,1,9,4,0,1,3,1,22,0.526,0.125,0.333,7.5,5.5,2.3,1,0,0.3
22,Gradey Dick,"Oct 25, '23, TOR vs. MIN",20,3,155,3492,537,1301,236,680,223,260,89,401,193,110,17,153,266,1533,0.413,0.347,0.858,22.5,9.9,2.6,1.2,0.7,0.1
23,Henri Drell,"Mar 14, '24, CHI vs. LAC",23,1,4,30,4,10,2,6,1,2,1,4,4,2,1,2,6,11,0.4,0.333,0.5,7.5,2.8,1,1,0.5,0.3
24,Tosan Evbuomwan,"Feb 2, '24, MEM vs. GSW",22,3,50,1040,130,292,36,109,72,98,51,182,71,30,15,48,79,368,0.445,0.33,0.735,20.8,7.4,3.6,1.4,0.6,0.3
25,Adam Flagler,"Feb 23, '24, OKC vs. WAS",24,2,39,217,26,103,15,78,1,2,7,27,16,8,3,4,15,68,0.252,0.192,0.5,5.6,1.7,0.7,0.4,0.2,0.1
26,Jordan Ford,"Oct 25, '23, SAC @ UTA",25,1,6,22,4,7,2,3,2,2,0,2,2,0,0,1,0,12,0.571,0.667,1,3.7,2,0.3,0.3,0,0
27,Javon Freeman-Liberty,"Jan 17, '24, TOR vs. MIA",24,1,22,403,55,124,10,42,33,36,16,70,40,10,4,25,28,153,0.444,0.238,0.917,18.3,7,3.2,1.8,0.5,0.2
28,Alex Fudge,"Nov 4, '23, LAL @ ORL",20,1,6,40,6,15,1,5,2,2,4,5,0,3,0,2,2,15,0.4,0.2,1,6.7,2.5,0.8,0,0.5,0
29,Andrew Funk,"Mar 14, '24, CHI vs. LAC",24,1,5,13,0,4,0,3,0,0,0,0,0,1,1,0,0,0,0,0,,2.6,0,0,0,0.2,0.2
30,Kaiser Gates,"Oct 30, '23, NOP vs. GSW",27,1,1,7,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,,7,0,1,0,0,0
31,Keyonte George,"Oct 25, '23, UTA vs. SAC",20,3,180,5438,962,2360,418,1208,662,773,60,624,972,120,27,505,294,3004,0.408,0.346,0.856,30.2,16.7,3.5,5.4,0.7,0.2
32,Collin Gillespie,"Oct 24, '23, DEN vs. LAL",24,3,96,1780,282,648,165,400,65,79,65,260,296,90,16,99,110,794,0.435,0.413,0.823,18.5,8.3,2.7,3.1,0.9,0.2
33,Mouhamadou Gueye,"Feb 12, '24, TOR vs. SAS",25,1,11,120,11,38,0,3,4,9,12,23,5,3,18,12,15,26,0.289,0,0.444,10.9,2.4,2.1,0.5,0.3,1.6
34,Mouhamed Gueye,"Oct 29, '23, ATL @ MIL",21,3,78,1225,153,353,41,156,57,81,100,299,67,59,61,40,134,404,0.433,0.263,0.704,15.7,5.2,3.8,0.9,0.8,0.8
35,Jordan Hawkins,"Oct 25, '23, NOP @ MEM",21,3,154,2913,430,1163,244,711,160,195,65,356,158,54,36,117,143,1264,0.37,0.343,0.821,18.9,8.2,2.3,1,0.4,0.2
36,Scoot Henderson,"Oct 25, '23, POR @ LAC",19,2,128,3524,594,1482,192,565,325,410,105,392,671,116,26,389,376,1705,0.401,0.34,0.793,27.5,13.3,3.1,5.2,0.9,0.2
37,Taylor Hendricks,"Oct 25, '23, UTA vs. SAC",20,3,70,1345,163,366,77,209,49,63,78,286,54,45,41,43,120,452,0.445,0.368,0.778,19.2,6.5,4.1,0.8,0.6,0.6
38,D'Moi Hodge,"Nov 4, '23, LAL @ ORL",25,1,7,41,5,15,3,12,1,2,0,0,5,1,1,1,4,14,0.333,0.25,0.5,5.9,2,0,0.7,0.1,0.1
39,Chet Holmgren,"Oct 25, '23, OKC @ CHI",21,3,148,4278,906,1702,220,591,421,541,239,1189,318,96,323,248,362,2453,0.532,0.372,0.778,28.9,16.6,8,2.1,0.6,2.2
40,Jalen Hood-Schifino,"Nov 27, '23, LAL @ PHI",20,2,36,424,47,143,16,61,30,41,5,40,45,8,9,27,38,140,0.329,0.262,0.732,11.8,3.9,1.1,1.3,0.2,0.3
,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
41,Jett Howard,"Oct 25, '23, ORL vs. HOU",20,3,105,1058,151,409,86,284,33,43,31,116,73,19,17,45,98,421,0.369,0.303,0.767,10.1,4,1.1,0.7,0.2,0.2
42,Matthew Hurt,"Jan 29, '24, MEM vs. SAC",23,1,8,113,12,34,5,20,3,3,9,16,4,3,3,2,8,32,0.353,0.25,1,14.1,4,2,0.5,0.4,0.4
43,Andre Jackson Jr.,"Oct 29, '23, MIL vs. ATL",22,3,139,1649,151,321,50,137,25,41,113,307,150,55,22,92,219,377,0.47,0.365,0.61,11.9,2.7,2.2,1.1,0.4,0.2
44,GG Jackson II,"Oct 30, '23, MEM vs. DAL",19,3,96,1970,358,864,147,434,164,220,87,342,100,56,36,114,121,1027,0.414,0.339,0.745,20.5,10.7,3.6,1,0.6,0.4
45,Trayce Jackson-Davis,"Oct 27, '23, GSW @ SAC",23,3,158,2448,459,722,0,4,159,278,302,758,213,61,132,108,216,1077,0.636,0,0.572,15.5,6.8,4.8,1.3,0.4,0.8
46,Jaime Jaquez Jr.,"Oct 25, '23, MIA vs. DET",22,3,177,4516,785,1592,118,379,342,442,209,761,525,167,41,289,320,2030,0.493,0.311,0.774,25.5,11.5,4.3,3,0.9,0.2
47,Trey Jemison,"Jan 24, '24, WAS vs. MIN",24,3,69,1003,119,213,0,0,35,59,113,249,44,21,45,61,144,273,0.559,,0.593,14.5,4,3.6,0.6,0.3,0.7
48,Keyontae Johnson,"Oct 29, '23, OKC vs. DEN",23,1,9,66,5,16,1,3,0,0,4,10,4,1,0,4,5,11,0.313,0.333,,7.3,1.2,1.1,0.4,0.1,0
49,Colby Jones,"Oct 25, '23, SAC @ UTA",21,3,70,714,88,203,18,73,29,46,38,131,66,33,18,33,67,223,0.433,0.247,0.63,10.2,3.2,1.9,0.9,0.5,0.3
50,Maxwell Lewis,"Oct 24, '23, LAL @ DEN",21,2,62,430,49,129,20,59,9,13,20,59,25,11,8,24,34,127,0.38,0.339,0.692,6.9,2,1,0.4,0.2,0.1
51,E.J. Liddell,"Oct 28, '23, NOP vs. NYK",23,3,28,111,14,33,5,23,6,7,6,23,4,3,3,4,17,39,0.424,0.217,0.857,4,1.4,0.8,0.1,0.1,0.1
52,Dereck Lively II,"Oct 25, '23, DAL @ SAS",19,3,98,2242,366,505,0,2,95,164,253,685,158,60,144,101,265,827,0.725,0,0.579,22.9,8.4,7,1.6,0.6,1.5
53,Chris Livingston,"Nov 1, '23, MIL @ TOR",20,3,45,213,24,56,1,16,16,21,13,59,11,8,0,11,27,65,0.429,0.063,0.762,4.7,1.4,1.3,0.2,0.2,0
54,Seth Lundy,"Dec 15, '23, ATL @ TOR",23,1,9,52,4,17,3,13,3,4,1,7,0,0,0,1,6,14,0.235,0.231,0.75,5.8,1.6,0.8,0,0,0
55,Nathan Mensah,"Dec 15, '23, CHO vs. NOP",25,1,25,307,12,28,0,0,9,12,29,65,9,6,14,14,64,33,0.429,,0.75,12.3,1.3,2.6,0.4,0.2,0.6
56,Vasilije Micić,"Oct 27, '23, OKC @ CLE",30,2,101,1961,254,643,88,279,95,116,34,177,390,46,7,176,113,691,0.395,0.315,0.819,19.4,6.8,1.8,3.9,0.5,0.1
57,Brandon Miller,"Oct 25, '23, CHO vs. ATL",21,3,124,3993,827,1955,351,967,281,337,110,545,351,118,86,265,325,2286,0.423,0.363,0.834,32.2,18.4,4.4,2.8,1,0.7
58,Jordan Miller,"Oct 25, '23, LAC vs. POR",24,3,63,716,103,222,24,75,56,69,39,109,53,22,8,40,41,286,0.464,0.32,0.812,11.4,4.5,1.7,0.8,0.3,0.1
59,Leonard Miller,"Oct 28, '23, MIN vs. MIA",20,3,45,156,35,64,3,20,13,17,14,51,12,7,2,9,18,86,0.547,0.15,0.765,3.5,1.9,1.1,0.3,0.2,0
60,Dariq Whitehead,"Nov 25, '23, BRK vs. MIA",19,2,22,270,40,101,33,77,4,7,4,33,15,6,2,15,22,117,0.396,0.429,0.571,12.3,5.3,1.5,0.7,0.3,0.1
,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
61,Taze Moore,"Jan 21, '24, POR @ LAL",25,2,6,60,10,29,2,11,2,4,8,16,6,4,0,5,4,24,0.345,0.182,0.5,10,4,2.7,1,0.7,0
62,Kris Murray,"Oct 25, '23, POR @ LAC",23,3,165,3262,340,820,96,381,94,155,222,542,190,128,52,129,226,870,0.415,0.252,0.606,19.8,5.3,3.3,1.2,0.8,0.3
63,Pete Nance,"Jan 20, '24, CLE @ ATL",23,3,30,197,22,52,14,34,1,4,6,31,11,3,2,7,19,59,0.423,0.412,0.25,6.6,2,1,0.4,0.1,0.1
64,Markquis Nowell,"Nov 15, '23, TOR vs. MIL",24,1,1,4,0,1,0,0,2,2,2,2,2,1,0,0,0,2,0,,1,4,2,2,2,1,0
65,Mãozinha Pereira,"Mar 20, '24, MEM @ GSW",23,1,7,122,18,35,5,13,7,10,11,37,2,6,4,5,10,48,0.514,0.385,0.7,17.4,6.9,5.3,0.3,0.9,0.6
66,Drew Peterson,"Dec 23, '23, BOS @ LAC",24,3,34,273,23,63,16,50,8,11,12,50,16,10,3,9,22,70,0.365,0.32,0.727,8,2.1,1.5,0.5,0.3,0.1
67,Filip Petrušev,"Oct 29, '23, PHI vs. POR",23,1,3,10,1,2,0,0,1,2,0,1,0,0,0,0,1,3,0.5,,0.5,3.3,1,0.3,0,0,0
68,Julian Phillips,"Oct 25, '23, CHI vs. OKC",20,3,147,1731,192,438,76,234,78,101,99,244,59,60,33,43,179,538,0.438,0.325,0.772,11.8,3.7,1.7,0.4,0.4,0.2
69,Jalen Pickett,"Oct 24, '23, DEN vs. LAL",24,3,100,1168,143,326,74,186,13,16,26,144,183,29,8,51,71,373,0.439,0.398,0.813,11.7,3.7,1.4,1.8,0.3,0.1
70,Brandin Podziemski,"Oct 30, '23, GSW @ NOP",20,3,178,4756,715,1588,276,722,190,263,211,928,622,171,34,217,293,1896,0.45,0.382,0.722,26.7,10.7,5.2,3.5,1,0.2
71,Craig Porter Jr.,"Oct 28, '23, CLE vs. IND",23,3,138,1789,259,513,53,132,77,109,95,307,291,74,53,113,106,648,0.505,0.402,0.706,13,4.7,2.2,2.1,0.5,0.4
72,Olivier-Maxence Prosper,"Nov 3, '23, DAL @ DEN",21,3,112,1146,141,342,32,118,103,145,81,250,77,37,11,34,64,417,0.412,0.271,0.71,10.2,3.7,2.2,0.7,0.3,0.1
73,Duop Reath,"Nov 12, '23, POR @ LAL",27,3,142,1892,328,726,142,395,91,118,144,369,102,50,58,75,226,889,0.452,0.359,0.771,13.3,6.3,2.6,0.7,0.4,0.4
74,Rayan Rupert,"Oct 25, '23, POR @ LAC",19,3,124,1443,140,386,54,177,47,65,63,217,107,38,9,71,131,381,0.363,0.305,0.723,11.6,3.1,1.8,0.9,0.3,0.1
75,Jermaine Samuels,"Oct 25, '23, HOU @ ORL",25,1,14,60,9,14,0,2,2,2,3,13,3,1,2,0,5,20,0.643,0,1,4.3,1.4,0.9,0.2,0.1,0.1
76,Adama Sanogo,"Dec 28, '23, CHI vs. IND",21,2,13,87,18,34,0,0,8,12,24,42,1,1,0,6,6,44,0.529,,0.667,6.7,3.4,3.2,0.1,0.1,0
77,Gui Santos,"Nov 16, '23, GSW vs. OKC",21,3,110,1300,150,321,62,184,61,83,114,294,121,40,17,74,154,423,0.467,0.337,0.735,11.8,3.8,2.7,1.1,0.4,0.2
